Date,Hogs_sweight
1983-01,221.0
1983-02,217.66666666666666
1983-03,218.33333333333334
1983-04,219.66666666666666
1983-05,222.33333333333334
1983-06,223.0
1983-07,220.66666666666666
1983-08,218.33333333333334
1983-09,217.0
1983-10,219.33333333333334
1983-11,222.33333333333334
1983-12,220.33333333333334
1984-01,218.66666666666666
1984-02,218.0
1984-03,217.66666666666666
1984-04,219.33333333333334
1984-05,221.66666666666666
1984-06,223.66666666666666
1984-07,221.0
1984-08,219.33333333333334
1984-09,218.66666666666666
1984-10,221.0
1984-11,222.33333333333334
1984-12,222.0
1985-01,221.66666666666666
1985-02,219.0
1985-03,219.0
1985-04,221.66666666666666
1985-05,223.33333333333334
1985-06,224.0
1985-07,221.33333333333334
1985-08,219.33333333333334
1985-09,219.0
1985-10,222.33333333333334
1985-11,224.33333333333334
1985-12,223.33333333333334
1986-01,223.0
1986-02,220.66666666666666
1986-03,221.33333333333334
1986-04,222.66666666666666
1986-05,222.66666666666666
1986-06,222.33333333333334
1986-07,221.66666666666666
1986-08,220.33333333333334
1986-09,222.0
1986-10,224.66666666666666
1986-11,226.66666666666666
1986-12,228.0
1987-01,227.66666666666666
1987-02,224.33333333333334
1987-03,223.0
1987-04,223.0
1987-05,223.66666666666666
1987-06,224.33333333333334
1987-07,222.33333333333334
1987-08,221.0
1987-09,222.33333333333334
1987-10,224.66666666666666
1987-11,227.66666666666666
1987-12,226.0
1988-01,225.0
1988-02,224.0
1988-03,224.0
1988-04,225.66666666666666
1988-05,226.66666666666666
1988-06,226.66666666666666
1988-07,225.66666666666666
1988-08,223.33333333333334
1988-09,224.0
1988-10,226.66666666666666
1988-11,228.66666666666666
1988-12,227.33333333333334
1989-01,226.0
1989-02,224.0
1989-03,224.0
1989-04,227.0
1989-05,227.33333333333334
1989-06,227.0
1989-07,223.33333333333334
1989-08,223.33333333333334
1989-09,222.66666666666666
1989-10,224.66666666666666
1989-11,227.66666666666666
1989-12,226.0
1990-01,226.0
1990-02,225.0
1990-03,225.0
1990-04,226.33333333333334
1990-05,227.33333333333334
1990-06,228.33333333333334
1990-07,225.66666666666666
1990-08,225.66666666666666
1990-09,224.66666666666666
1990-10,226.33333333333334
1990-11,229.66666666666666
1990-12,229.33333333333334
1991-01,228.33333333333334
1991-02,227.33333333333334
1991-03,227.0
1991-04,228.66666666666666
1991-05,229.66666666666666
1991-06,229.33333333333334
1991-07,227.0
1991-08,226.33333333333334
